Nbr,Name,Latitude,Longitude,Number of Guilds
1,Aix Provence,43.526252,5.445709,2
2,Alencon,48.430143,0.084777,1
3,Amiens,49.893755,2.295404,6
4,Avignon,43.949286,4.804942,3
5,Besancon,47.236087,6.026392,4
6,Blois,47.586366,1.332791,2
7,Bordeaux,44.845308,-0.575268,45
8,Brest,48.384992,-4.490564,4
9,Brittany (Towns and Villages),48.180874,-2.92536,26
10,Caen,49.186364,-0.362675,2
11,Chalons,48.955452,4.356724,3
12,Chartres,48.444084,1.489055,24
13,Chateaubriand,48.772106,2.264192,2
14,Dijon,47.323181,5.040018,138
15,Elbeuf,49.291684,1.007031,8
16,La Rochelle,46.160171,-1.148562,1
17,La Havre,49.486982,0.107551,1
18,Lille,50.624304,3.06799,13
19,Limoge,45.829781,1.255045,1
20,Lodeve,43.731969,3.317842,1
21,Louviers,49.214699,1.168979,11
22,Lyon,45.760678,4.852098,103
23,Marseille,43.290805,5.371982,7
24,Maubeuge,50.276905,3.973888,2
25,Montereau,48.382178,2.953578,1
26,Montpellier,43.608425,3.87589,4
27,Nancy,48.693171,6.183546,1
28,Nantes,47.212386,-1.56461,47
29,Nimes,43.837526,4.359699,7
30,Normandy (Region),49.078969,0.110012,8
31,Orleans,47.901951,1.90384,1
32,Greater Paris,48.85317,2.348906,226
33,Poitiers,46.579982,0.340236,120
34,Poitou Region,45.85763,-0.603952,34
35,Pont-De-L'Arche,49.303421,1.155482,1
36,Reims,49.258667,4.031257,1
37,Rennes,48.109885,-1.674196,25
38,Roubaix,50.692228,3.176885,3
39,Rouen,49.442632,1.098609,68
40,Saint Eustache,45.795355,6.148388,1
41,Saint-Maixent,46.410639,-0.204819,1
42,saint Malo,48.647387,-2.008946,4
43,Sedan,49.700882,4.933543,1
44,Strasbourg,48.568181,7.768453,6
45,Toulouse,43.595474,1.451727,7
46,Tours,47.393215,0.682789,4
47,Trevoux,45.940393,4.776106,1
48,Troyes,48.292781,4.073926,3
49,Turcoing,50.724665,3.166281,1
50,Valence,44.932301,4.896808,1
51,Valenciennes,50.356757,3.524252,3
