Date,Name,Lease Price,Total Revenue,Advances,Tax Profit
1681-1687,Fauconnet,56670000,384744000, ,328074000
1687-1691,Domergue and Charrière,63000000,378000000, ,315000000
1691-1697,Pointeau,61000000,315316583, ,254316583
1697-1703,Templier,59000000,354000000, ,295000000
1703-1707,"Ferreau				",,,,
1707-1713,"Isambert				",,,,
1713-1715,"Nerville				",,,,
1715-1718,"Bonnet and Manis				",,,,
1718-1719,"Lambert				",,,,
1719-1720,"Pillavoine				",,,,
1721-1726,Retroactive Bourgeoisie,70000000,461000000, ,391000000
1726-1732,Carlier,80000000,480000000,8000000,400000000
1732-1738,Desboves,84000000,504000000,8000000,420000000
1738-1744,Forceville,91083000,546498000,8000000,455415000
1744-1750,La Rue,92000000,552000000,8000000,460000000
1750-1756,girandin,102765000,616590000,20000000,513825000
1756-1762,Henriet,110000000,660000000,60000000,550000000
1762-1768,Prevost,124000000,744000000,62000000,620000000
1768-1774,Alaterre,132000000,792000000,92000000,660000000
1774-1780,David,152000000,972000000,92000000,820000000
1780-1786,Salzard,122900000,737000000,63960000,614100000
1787-1791,Mager,144000000,864000000,68840000,720000000
